Fantasy Team,Player ID,Round,Pick,Ov Pick,Pos,Player,Team,DraftGP,DraftPts,DraftPPG,DraftRank,DrafRankDelta,SeasonGP,SeasonPts,SeasonPPG,SeasonRank,SeasonDelta,Utilisation
STL,*06phe*,14,12,168,D,Ferdi Kadioglu,BHA,16,140,8.75,73,95,36.992753623188406,255.25,6.9,100,68,0.5484818805093046
STL,*04sjt*,15,1,169,G,Alisson Ramses Becker,LIV,5,36.25,7.25,115,54,25.99236641221374,170.25,6.55,193,-24,0.21292217327459617
OWL,*06rma*,15,2,170,M,Marshall Munetsi,WOL,1,3.75,3.75,158,12,13.001605136436597,81,6.23,334,-164,0.046296296296296294
PUN,*06p4k*,15,3,171,D,Matthijs de Ligt,MUN,9,84.25,9.36,90,81,12.99342105263158,118.5,9.12,267,-96,0.7109704641350211
PLE,*06ybp*,15,4,172,F,Thierno Barry,EVE,1,6.75,6.75,142,30,38.02083333333333,200.75,5.28,157,15,0.033623910336239106
KKCS,*067ys*,15,5,173,M,Jack Hinshelwood,BHA,3,20.5,6.83,131,42,26.99004975124378,162.75,6.03,206,-33,0.1259600614439324
BRG,*06v0g*,15,6,174,D,Trai Hume,SUN,1,-5.25,-5.25,192,-18,37.97425474254742,280.25,7.38,75,99,-0.01873327386262266
RVN,*05uns*,15,7,175,F,Leon Bailey,AVL,1,6.5,6.5,144,31,13.015463917525773,50.5,3.88,381,-206,0.12871287128712872
MTP,*05220*,15,8,176,D,Sepp van den Berg,BRF,4,32.75,8.19,119,57,32.00419727177335,305,9.53,46,130,0.10737704918032787
UFOE,*063e7*,15,9,177,D,Marcos Senesi,BOU,31,331,10.68,21,156,36.99813258636788,396.25,10.71,16,161,0.8353312302839117
COB,*06fwi*,15,10,178,M,Carlos Baleba,BHA,1,4,4,152,26,31.03448275862069,99,3.19,293,-115,0.04040404040404041
WOL,*04f6h*,15,11,179,G,Matz Sels,NOT,7,35.75,5.11,116,63,30.99062918340027,231.5,7.47,118,61,0.15442764578833693
BGE,*04tm0*,15,12,180,D,Lucas Digne,AVL,1,3.75,3.75,158,22,30.981012658227847,244.75,7.9,107,73,0.015321756894790603
BGE,*064a0*,16,1,181,F,Wilfried Gnonto,LEE,2,4,2,152,29,23.01255230125523,55,2.39,377,-196,0.07272727272727272
WOL,*05o4b*,16,2,182,D,Matty Cash,AVL,31,271.5,8.76,35,147,35.00635324015248,275.5,7.87,79,103,0.985480943738657
COB,*068yi*,16,3,183,D,Illia Zabarnyi,BOU,0,0,0,172,11,0,0,0,910,-727,0
UFOE,*068yd*,16,4,184,M,Joao Victor Gomes da Silva,WOL,8,51.25,6.41,103,81,34.97516556291391,211.25,6.04,145,39,0.24260355029585798
MTP,*03gu5*,16,5,185,D,Andrew Robertson,LIV,0,0,0,172,13,23.98148148148148,129.5,5.4,254,-69,0
RVN,*04xjr*,16,6,186,M,Harvey Elliott,LIV,1,1,1,167,19,5,4.75,0.95,477,-291,0.21052631578947367
BRG,*06cmb*,16,7,187,G,Guglielmo Vicario,TOT,31,206.25,6.65,54,133,31.01503759398496,206.25,6.65,149,38,1
KKCS,*05oz3*,16,8,188,G,James Trafford,MCI,4,34.5,8.62,118,70,4.00232018561485,34.5,8.62,400,-212,1
PLE,*05oef*,16,9,189,G,Alphonse Areola,WHU,1,0,0,172,17,20.006242197253435,160.25,8.01,210,-21,0
PUN,*04ym7*,16,10,190,G,Lucas Estella Perri,LEE,2,3.5,1.75,160,30,16,76,4.75,346,-156,0.046052631578947366
OWL,*04mr4*,16,11,191,G,Martin Dubravka,BUR,18,103,5.72,84,107,34.986684420772306,262.75,7.51,94,97,0.39200761179828736
STL,*06zqk*,16,12,192,D,David MÃ¸ller Wolfe,WOL,1,9.25,9.25,138,54,22.017543859649123,62.75,2.85,360,-168,0.14741035856573706
